"Estimates","Household final consumption expenditure","Food and non-alcoholic beverages","Food","Non-alcoholic beverages","Alcoholic beverages, tobacco and cannabis","Alcoholic beverages","Tobacco","Cannabis products for non-medical use (licensed)","Cannabis products for non-medical use (unlicensed)","Clothing and footwear","Clothing materials, other articles of clothing and clothing accessories","Garments","Cleaning of clothing","Footwear","Housing, water, electricity, gas and other fuels","Paid rental fees for housing","Imputed rental fees for housing","Materials for the maintenance and repair of the dwelling","Services for the maintenance and repair of the dwelling","Water supply and sanitation services","Electricity","Gas","Other fuels","Furnishings, household equipment and other goods and services related to the dwelling and property","Furniture and furnishings","Carpets and other floor coverings","Household textiles","Major household appliances","Small electric household appliances","Major tools and equipment","Small tools and miscellaneous accessories","Other semi-durable household goods","Other non-durable household goods","Repair of personal and household goods except vehicles","Renting and leasing of personal and household goods except passenger vehicles","Other services related to the dwelling and property","Health","Pharmaceutical products and other medical products (except cannabis)","Cannabis products for medical use","Therapeutic appliances and equipment","Out-patient services","Hospital services","Transport","New passenger cars","New trucks, vans and sport utility vehicles","Used motor vehicles","Other vehicles","Spare parts and accessories for vehicles","Fuels and lubricants","Maintenance and repair of vehicles","Parking","Passenger vehicle renting","Other services related to the operation of transport equipment","Railway transport","Urban transit","Interurban bus","Taxi and limousine","Air transport","Water transport","Other transport services","Communications","Postal services","Telecommunication equipment","Telecommunication services","Recreation and culture","Audio-visual and photographic equipment","Information processing equipment","Recording media","Major durables for outdoor recreation","Musical instruments and major durables for indoor recreation","Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Garden products, plants and flowers","Pets and pet food","Veterinary and other services for pets","Recreational and sporting services","Cable, satellite and other program distribution services","Cinemas","Photographic services","Other cultural services","Games of chance","Books","Newspapers and periodicals","Miscellaneous printed matter and stationery and drawing materials","Education","University education","Other education","Food, beverage and accommodation services","Food and non-alcoholic beverage services","Alcoholic beverage services","Accommodation services","Insurance and financial services","Life insurance","Property insurance","Health insurance","Insurance related to transport","Implicit loan charges","Implicit deposit charges","Stock and bond commissions","Other actual financial charges","Trusteed pension funds","Mutual funds","Miscellaneous goods and services","Personal grooming services","Electrical appliances for personal care","Other appliances, articles and products for personal care","Jewellery, clocks and watches","Other personal effects","Child care services outside the home","Child care services in the home","Other social services","Undertaking and other funeral services","Legal and other services","Net expenditure abroad","Expenditure by Canadians abroad","Expenditure by non-residents in Canada"
"Q1 2016","285,296","26,188","23,507","2,681","10,965","5,479","4,083","..","1,403","11,912","1,055","8,568","366","1,923","68,130","14,643","43,886","746","115","1,881","4,759","1,489","611","15,272","4,295","180","885","1,520","498","693","659","1,828","1,961","704","783","1,266","12,247","5,078","43","1,029","5,303","794","41,832","4,688","9,678","3,886","785","4,070","8,847","2,538","741","304","603","65","1,076","307","306","3,137","114","687","7,540","447","270","6,823","23,201","1,636","1,041","614","1,714","291","1,491","1,324","853","1,090","790","2,750","2,486","321","246","769","4,036","752","462","535","4,708","2,310","2,398","19,917","14,352","2,734","2,831","25,303","2,607","643","1,677","1,830","3,459","3,040","1,171","4,275","1,689","4,912","14,682","2,161","168","3,921","1,137","797","1,328","303","2,017","570","2,280","3,399","11,521","-8,122"
"Q2 2016","286,760","26,124","23,413","2,711","11,091","5,559","4,148","..","1,384","11,827","1,076","8,543","362","1,846","68,799","14,799","44,290","744","117","1,911","4,822","1,454","662","15,376","4,367","184","879","1,532","497","708","644","1,824","1,975","698","801","1,267","12,374","5,081","59","1,057","5,378","799","42,372","4,617","9,799","3,728","761","3,999","9,475","2,550","748","305","620","68","1,107","306","309","3,161","116","703","7,644","442","273","6,929","23,090","1,656","1,054","609","1,678","296","1,474","1,354","874","1,137","791","2,786","2,501","270","246","766","3,900","736","448","514","4,776","2,350","2,426","20,210","14,543","2,744","2,923","25,309","2,622","540","1,685","1,732","3,458","3,050","1,198","4,299","1,666","5,059","14,851","2,154","168","3,980","1,150","806","1,346","304","2,047","576","2,320","2,917","11,351","-8,434"
"Q3 2016","289,033","26,214","23,487","2,727","11,002","5,444","4,203","..","1,355","11,730","1,054","8,436","361","1,879","69,516","14,950","44,673","741","118","1,945","4,901","1,568","620","15,442","4,292","188","868","1,579","514","747","658","1,843","1,989","692","805","1,267","12,462","5,052","78","1,083","5,443","806","42,441","4,524","9,786","3,838","787","3,949","9,357","2,551","758","312","630","69","1,119","305","314","3,322","115","705","7,749","440","288","7,021","23,350","1,612","1,066","617","1,686","302","1,455","1,345","890","1,112","798","2,820","2,512","291","247","771","4,101","762","451","512","4,844","2,385","2,459","20,592","14,787","2,763","3,042","25,593","2,661","555","1,718","1,762","3,435","2,992","1,232","4,331","1,626","5,281","15,065","2,176","175","4,009","1,210","834","1,361","306","2,086","582","2,326","3,033","11,733","-8,700"
"Q4 2016","292,579","26,418","23,631","2,787","11,116","5,540","4,257","..","1,319","11,801","1,076","8,460","359","1,906","70,086","15,088","45,056","768","119","1,974","4,864","1,548","669","15,688","4,444","187","881","1,570","518","773","680","1,808","2,023","690","836","1,278","12,578","5,034","99","1,109","5,524","812","43,842","4,516","10,265","3,959","808","4,029","10,088","2,567","767","313","637","70","1,119","304","319","3,262","114","705","7,792","441","294","7,057","23,469","1,698","1,039","636","1,754","298","1,449","1,346","898","1,105","818","2,861","2,516","275","253","794","3,991","778","447","513","4,933","2,441","2,492","20,656","14,820","2,779","3,057","25,757","2,679","567","1,712","1,770","3,471","3,053","1,217","4,319","1,644","5,325","15,161","2,193","176","4,029","1,202","837","1,378","308","2,123","584","2,331","3,282","12,075","-8,793"
"Q1 2017","296,967","26,545","23,739","2,806","11,141","5,594","4,272","..","1,275","11,930","1,066","8,578","364","1,922","70,718","15,247","45,467","768","120","2,007","4,769","1,652","688","15,941","4,466","191","887","1,673","531","799","704","1,849","2,042","688","825","1,286","12,761","5,136","125","1,111","5,577","812","45,590","4,708","10,848","4,123","832","4,245","10,524","2,550","778","319","644","72","1,133","307","324","3,359","115","709","7,950","443","300","7,207","23,986","1,751","1,088","616","1,864","293","1,469","1,361","911","1,145","838","2,911","2,523","296","258","806","4,123","795","425","513","5,010","2,495","2,515","21,011","15,093","2,833","3,085","26,197","2,731","633","1,749","1,826","3,502","3,086","1,270","4,326","1,651","5,423","15,289","2,213","180","4,008","1,231","845","1,395","309","2,164","597","2,347","2,898","11,921","-9,023"
"Q2 2017","301,062","27,186","24,417","2,769","11,200","5,684","4,275","..","1,241","12,193","1,089","8,752","366","1,986","71,293","15,383","45,865","778","121","2,036","4,733","1,740","637","16,145","4,456","196","907","1,706","541","815","732","1,891","2,119","678","805","1,299","12,951","5,205","143","1,144","5,647","812","46,200","4,695","11,196","4,269","839","4,361","10,305","2,611","789","323","654","76","1,149","304","328","3,460","119","722","8,210","443","310","7,457","24,080","1,786","1,124","589","1,875","295","1,436","1,390","916","1,171","853","2,914","2,531","276","264","815","4,094","814","423","514","5,079","2,521","2,558","21,309","15,315","2,827","3,167","26,546","2,762","729","1,776","1,874","3,487","3,051","1,283","4,394","1,727","5,463","15,597","2,220","182","4,171","1,286","845","1,415","309","2,197","602","2,370","3,073","12,137","-9,064"
"Q3 2017","303,541","27,417","24,599","2,818","11,259","5,757","4,283","..","1,219","12,316","1,098","8,878","369","1,971","71,751","15,535","46,329","807","123","2,072","4,555","1,717","613","16,144","4,473","195","920","1,672","538","787","730","1,935","2,085","683","812","1,314","13,067","5,256","155","1,162","5,682","812","46,581","4,763","11,148","4,366","817","4,400","10,340","2,688","799","325","650","79","1,162","302","331","3,570","122","719","8,272","446","307","7,519","24,199","1,744","1,127","583","1,818","303","1,517","1,428","934","1,196","867","2,955","2,538","277","266","819","4,097","795","429","506","5,164","2,562","2,602","21,640","15,554","2,847","3,239","26,894","2,789","762","1,792","1,902","3,585","3,104","1,281","4,388","1,736","5,555","15,673","2,234","178","4,228","1,236","844","1,435","310","2,231","611","2,366","3,164","12,347","-9,183"
"Q4 2017","307,583","27,544","24,645","2,899","11,389","5,865","4,318","..","1,206","12,392","1,087","8,951","368","1,986","72,547","15,674","46,829","820","125","2,106","4,619","1,696","678","16,387","4,583","200","938","1,751","542","768","716","1,961","2,096","689","815","1,328","13,142","5,302","161","1,138","5,727","814","47,891","4,719","11,161","4,426","848","4,567","11,208","2,821","808","321","642","78","1,177","302","336","3,626","122","729","8,393","447","315","7,631","24,619","1,799","1,158","569","1,864","306","1,616","1,445","956","1,252","885","2,986","2,552","287","264","831","4,158","776","425","490","5,257","2,612","2,645","21,806","15,726","2,859","3,221","27,602","2,801","769","1,814","1,911","3,697","3,127","1,300","4,615","1,779","5,789","15,893","2,232","180","4,366","1,230","849","1,455","311","2,256","616","2,398","2,721","12,388","-9,667"
"Q1 2018","311,034","27,700","24,774","2,926","11,568","5,936","4,400","0","1,232","12,534","1,114","9,056","367","1,997","73,341","15,854","47,271","808","126","2,135","4,707","1,767","673","16,550","4,615","205","942","1,753","558","789","754","1,941","2,137","689","818","1,349","13,314","5,376","154","1,177","5,786","821","48,819","4,641","11,489","4,474","844","4,577","11,758","2,797","816","326","650","79","1,187","306","339","3,673","122","741","8,542","448","320","7,774","24,976","1,871","1,188","595","1,856","305","1,576","1,454","975","1,272","902","3,027","2,595","294","265","841","4,215","800","431","514","5,379","2,670","2,709","22,021","15,913","2,884","3,224","27,621","2,788","735","1,797","1,875","3,676","3,116","1,347","4,600","1,798","5,889","16,021","2,260","187","4,301","1,260","860","1,483","308","2,318","626","2,418","2,648","12,306","-9,658"
"Q2 2018","314,245","28,141","25,188","2,953","11,702","5,909","4,539","0","1,254","12,604","1,132","9,097","362","2,013","74,132","16,043","47,806","811","127","2,166","4,743","1,719","717","16,768","4,634","206","941","1,795","557","812","784","1,976","2,199","678","835","1,351","13,384","5,406","147","1,202","5,805","824","49,334","4,503","11,467","4,643","828","4,627","12,066","2,832","823","331","657","83","1,194","307","344","3,765","125","739","8,559","452","314","7,793","25,145","1,840","1,181","619","1,996","304","1,539","1,404","957","1,295","915","3,034","2,583","296","267","843","4,281","828","437","526","5,488","2,724","2,764","22,358","16,127","2,923","3,308","27,828","2,834","711","1,816","1,845","3,740","3,162","1,317","4,625","1,823","5,955","16,191","2,284","186","4,287","1,303","867","1,522","306","2,385","617","2,434","2,611","12,315","-9,704"
"Q3 2018","317,210","28,595","25,590","3,005","11,877","6,007","4,566","0","1,304","12,781","1,138","9,258","358","2,027","74,937","16,219","48,302","801","128","2,192","4,847","1,715","733","16,833","4,733","205","955","1,781","583","798","782","1,975","2,167","672","829","1,353","13,512","5,457","133","1,239","5,856","827","49,614","4,378","11,297","4,769","819","4,756","12,160","2,882","829","331","657","82","1,204","304","352","3,913","128","753","8,683","454","336","7,893","25,241","1,836","1,183","587","1,970","295","1,624","1,433","986","1,318","926","3,054","2,609","293","269","831","4,239","813","448","527","5,641","2,807","2,834","22,723","16,428","2,936","3,359","27,891","2,786","705","1,814","1,821","3,678","3,151","1,357","4,712","1,909","5,958","16,460","2,311","195","4,355","1,347","871","1,548","305","2,426","624","2,478","2,422","12,456","-10,034"
"Q4 2018","317,957","28,612","25,621","2,991","11,812","5,921","4,526","175","1,190","12,657","1,131","9,152","360","2,014","75,790","16,395","48,817","815","129","2,226","4,897","1,766","745","16,729","4,667","202","927","1,815","582","787","778","1,912","2,197","676","823","1,363","13,572","5,452","153","1,232","5,908","827","49,226","4,221","11,422","4,922","816","4,792","11,524","2,923","836","333","668","85","1,211","257","363","3,948","137","768","8,870","455","336","8,079","25,570","1,853","1,214","589","1,935","298","1,755","1,432","1,017","1,332","950","3,103","2,610","292","270","840","4,276","858","430","516","5,769","2,892","2,877","22,889","16,602","2,945","3,342","28,018","2,831","696","1,836","1,837","3,653","3,164","1,415","4,786","1,925","5,875","16,612","2,345","195","4,383","1,303","885","1,582","306","2,463","625","2,525","1,831","12,394","-10,563"
"Q1 2019","320,902","28,829","25,789","3,040","11,906","6,067","4,502","185","1,152","12,796","1,148","9,249","361","2,038","76,893","16,659","49,573","811","130","2,253","4,940","1,803","724","16,976","4,781","198","940","1,695","567","842","856","1,947","2,260","687","838","1,365","13,717","5,559","155","1,221","5,951","831","49,200","4,083","11,557","5,083","836","4,902","10,979","2,990","859","341","672","86","1,228","257","377","4,037","147","766","8,926","473","336","8,117","25,433","1,795","1,197","619","1,942","317","1,711","1,429","1,048","1,343","967","3,172","2,700","274","272","859","4,019","828","417","524","5,845","2,937","2,908","23,114","16,777","2,955","3,382","28,359","2,823","719","1,789","1,835","3,691","3,181","1,426","4,904","1,919","6,072","16,872","2,369","193","4,517","1,308","885","1,601","309","2,516","625","2,549","2,036","12,505","-10,469"
"Q2 2019","323,948","29,161","26,057","3,104","11,940","6,077","4,517","274","1,072","12,963","1,170","9,409","357","2,027","77,809","16,905","50,274","829","130","2,272","4,851","1,814","734","17,334","4,824","212","984","1,753","602","852","840","2,004","2,345","694","846","1,378","13,901","5,642","152","1,226","6,039","842","49,691","4,016","11,439","4,976","854","4,857","11,658","2,975","864","348","690","85","1,243","257","384","4,109","161","775","8,967","476","349","8,142","25,746","1,874","1,210","611","1,988","310","1,651","1,430","1,045","1,410","980","3,205","2,695","294","273","867","4,110","853","407","533","5,900","2,963","2,937","23,445","16,966","2,983","3,496","28,789","2,857","759","1,813","1,905","3,727","3,190","1,426","4,982","1,925","6,205","17,112","2,382","203","4,610","1,334","903","1,618","311","2,551","632","2,568","1,190","12,508","-11,318"
"Q3 2019","325,920","29,603","26,528","3,075","11,971","6,076","4,548","393","954","13,055","1,197","9,477","348","2,033","78,791","17,169","51,010","834","131","2,315","4,877","1,742","713","17,390","4,922","211","978","1,758","598","820","826","2,025","2,330","692","840","1,390","14,148","5,722","151","1,268","6,142","865","49,275","3,758","12,093","4,704","884","4,783","11,139","2,948","866","349","701","85","1,258","270","390","4,086","165","796","8,994","478","343","8,173","25,795","1,829","1,212","603","1,924","314","1,610","1,437","1,063","1,447","997","3,249","2,713","287","272","870","4,166","852","422","528","5,888","2,953","2,935","23,562","17,024","2,977","3,561","28,932","2,849","756","1,810","1,895","3,765","3,227","1,453","5,067","1,866","6,244","17,174","2,407","201","4,614","1,310","874","1,635","314","2,591","638","2,590","1,342","12,998","-11,656"
"Q4 2019","330,046","29,893","26,747","3,146","12,100","6,143","4,606","457","894","13,062","1,187","9,499","340","2,036","80,054","17,458","51,732","823","133","2,351","5,033","1,795","729","17,608","4,983","209","967","1,761","624","830","823","2,172","2,330","694","820","1,395","14,222","5,644","145","1,277","6,266","890","49,541","3,752","12,290","4,486","891","4,790","11,405","2,927","861","349","709","90","1,261","285","391","4,093","171","790","9,000","480","354","8,166","25,854","1,794","1,219","574","1,840","299","1,596","1,507","1,076","1,506","1,014","3,298","2,712","292","271","890","4,187","828","425","526","5,742","2,853","2,889","23,792","17,194","2,980","3,618","29,245","2,894","750","1,817","1,956","3,815","3,262","1,473","5,017","1,972","6,289","17,241","2,423","204","4,598","1,323","887","1,653","312","2,627","643","2,571","2,692","13,612","-10,920"
"Q1 2020","322,701","31,749","28,408","3,341","12,611","6,483","4,736","537","855","11,066","1,002","8,005","324","1,735","80,771","17,666","52,281","866","127","2,364","5,037","1,707","723","17,405","4,759","200","876","1,859","664","776","836","2,135","2,506","634","798","1,362","13,904","5,898","139","1,206","5,773","888","42,815","3,234","9,756","3,592","845","4,554","10,133","2,762","780","333","664","54","1,131","290","345","3,453","141","748","8,934","490","339","8,105","24,947","1,733","1,286","575","1,762","303","1,734","1,566","1,087","1,612","1,029","2,873","2,708","212","260","758","3,726","791","419","513","5,836","2,907","2,929","20,983","15,217","2,550","3,216","29,180","2,881","819","1,832","1,985","3,841","3,273","1,422","5,078","1,937","6,112","16,878","2,097","220","4,817","1,182","810","1,584","294","2,656","649","2,569","5,622","13,100","-7,478"
"Q2 2020","275,063","32,308","28,994","3,314","12,719","6,455","4,818","626","820","7,369","579","5,345","220","1,225","80,819","17,700","52,368","900","106","2,419","4,948","1,764","614","16,533","4,660","179","837","2,011","766","950","895","1,852","2,532","527","617","707","10,887","5,570","140","804","3,717","656","28,124","1,778","8,133","2,744","1,003","4,026","5,692","2,313","546","188","438","4","238","39","249","170","56","507","8,860","502","317","8,041","20,812","1,857","1,454","671","1,772","270","1,966","1,688","1,118","1,492","935","1,307","2,713","5","248","378","1,311","714","394","519","5,610","2,969","2,641","11,361","9,244","878","1,239","29,376","2,897","776","1,917","2,001","3,905","3,400","1,465","4,963","1,907","6,145","13,243","1,023","257","4,601","683","599","389","179","2,603","675","2,234","-2,958","1,185","-4,143"
"Q3 2020","313,638","32,460","29,007","3,453","12,955","6,512","4,834","821","788","11,635","1,091","8,360","276","1,908","81,908","17,916","52,944","1,007","124","2,456","5,136","1,716","609","19,503","5,800","224","1,102","2,379","798","1,163","955","2,103","2,540","621","705","1,113","13,181","5,948","126","1,318","5,048","741","41,425","3,120","13,469","3,873","1,094","4,962","8,626","2,971","623","203","577","14","474","49","328","391","103","548","9,000","514","381","8,105","24,964","2,032","1,508","645","2,578","339","2,255","1,903","1,249","1,689","1,100","1,912","2,714","20","262","416","2,550","805","403","584","5,738","3,004","2,734","17,321","13,494","1,984","1,843","29,646","2,901","801","1,907","2,046","3,764","3,337","1,498","5,037","1,936","6,419","16,235","1,970","268","4,864","1,377","815","996","240","2,622","693","2,390","-2,333","1,441","-3,774"
"Q4 2020","316,495","33,397","29,886","3,511","13,018","6,510","4,825","919","764","11,174","1,027","8,037","286","1,824","82,954","18,165","53,529","1,049","131","2,490","5,088","1,879","623","20,149","6,029","254","1,076","2,576","803","1,142","1,003","2,109","2,527","623","743","1,264","13,699","5,941","121","1,405","5,475","757","41,443","3,189","12,833","3,861","1,232","5,132","8,650","3,093","587","200","582","12","510","52","323","470","91","626","8,966","530","362","8,074","25,259","2,036","1,533","524","2,628","359","2,252","2,063","1,372","1,762","1,137","1,986","2,726","10","271","429","2,494","784","374","519","5,599","2,915","2,684","15,905","12,669","1,311","1,925","30,402","2,886","822","1,929","2,068","3,821","3,370","1,538","5,250","1,962","6,756","16,476","1,819","268","4,859","1,349","804","1,259","260","2,638","713","2,507","-1,946","1,656","-3,602"
"Q1 2021","320,080","33,821","30,254","3,567","13,237","6,703","4,850","935","749","10,769","1,029","7,738","285","1,717","83,608","18,355","53,991","1,141","133","2,532","5,010","1,817","629","20,829","6,161","251","1,089","2,578","819","1,324","1,109","2,226","2,502","639","784","1,347","14,055","6,137","114","1,432","5,608","764","41,675","3,201","12,562","3,812","1,241","5,095","9,348","3,021","593","199","583","13","472","64","337","407","97","630","9,020","539","353","8,128","25,637","1,974","1,663","620","2,735","383","2,604","2,190","1,427","1,733","1,179","1,922","2,726","5","277","451","1,961","758","398","631","5,658","2,966","2,692","16,393","12,935","1,447","2,011","31,208","2,847","872","1,940","2,217","3,857","3,406","1,609","5,427","2,009","7,024","16,176","1,695","274","4,864","1,306","826","1,101","262","2,591","693","2,564","-2,006","1,561","-3,567"
"Q2 2021","321,129","32,698","29,150","3,548","13,232","6,583","4,912","1,021","716","10,441","960","7,595","284","1,602","85,148","18,663","54,864","1,049","136","2,565","5,225","1,977","669","19,909","6,165","244","982","2,383","839","1,117","898","2,152","2,374","656","788","1,311","14,014","6,030","113","1,277","5,809","785","42,950","3,132","12,216","4,403","1,108","5,269","10,073","3,189","634","198","573","17","507","85","363","450","89","644","9,042","538","338","8,166","25,286","1,904","1,562","610","2,722","354","2,205","2,140","1,377","1,701","1,151","2,011","2,736","25","266","456","2,396","795","336","539","5,813","3,063","2,750","16,624","13,128","1,573","1,923","32,203","2,873","892","1,886","2,187","3,923","3,472","1,718","5,660","2,072","7,520","16,158","1,672","282","4,899","1,186","836","1,160","281","2,555","702","2,585","-2,389","1,419","-3,808"
"Q3 2021","340,295","32,623","28,993","3,630","13,374","6,572","4,958","1,150","694","13,538","1,268","9,863","288","2,119","86,407","18,939","55,602","990","136","2,586","5,387","2,054","713","20,426","6,264","234","1,105","2,319","836","1,153","975","2,231","2,457","661","833","1,358","14,402","6,161","111","1,420","5,921","789","46,154","3,389","11,743","4,679","1,100","5,423","11,825","3,301","680","205","632","40","574","135","394","1,279","148","607","9,117","528","357","8,232","27,264","1,890","1,494","627","2,339","358","2,300","2,065","1,353","1,785","1,174","2,476","2,776","157","275","543","4,033","717","324","578","6,019","3,096","2,923","22,248","16,634","2,982","2,632","32,801","2,898","868","1,874","2,209","3,959","3,538","1,735","5,836","2,097","7,787","17,782","2,329","279","5,060","1,574","932","1,418","302","2,587","708","2,593","-1,860","2,988","-4,848"
"Q4 2021","346,131","33,221","29,632","3,589","13,460","6,664","4,966","1,170","660","13,669","1,296","9,950","289","2,134","87,493","19,235","56,310","1,058","137","2,611","5,192","2,188","762","20,755","6,307","244","1,112","2,327","830","1,209","1,001","2,300","2,451","684","857","1,433","14,606","6,233","105","1,445","6,036","787","48,203","3,265","11,652","5,196","1,141","5,505","12,713","3,345","705","219","674","54","622","159","401","1,772","149","631","9,228","536","362","8,330","27,737","1,871","1,522","544","2,515","366","2,307","2,120","1,377","1,792","1,199","2,755","2,769","199","276","647","3,868","702","323","585","6,079","3,134","2,945","22,387","16,756","2,560","3,071","32,984","2,877","860","1,879","2,218","3,942","3,497","1,724","6,055","2,120","7,812","18,127","2,370","278","5,105","1,576","920","1,561","306","2,613","721","2,677","-1,818","4,776","-6,594"
"Q1 2022","353,731","33,886","30,136","3,750","13,516","6,721","5,006","1,150","639","13,285","1,348","9,579","296","2,062","90,067","19,704","57,679","1,117","140","2,664","5,478","2,412","873","21,459","6,396","279","1,138","2,393","842","1,460","990","2,338","2,584","688","900","1,451","15,214","6,693","107","1,497","6,126","791","50,271","3,743","12,095","5,014","1,306","5,616","13,591","3,399","729","238","654","47","611","151","411","1,854","153","659","9,280","527","384","8,369","27,965","1,889","1,479","611","2,727","310","2,317","2,292","1,482","1,869","1,226","2,757","2,774","150","277","646","3,544","727","349","539","6,160","3,175","2,985","22,005","16,612","2,290","3,103","33,370","2,894","873","1,889","2,250","3,984","3,553","1,817","6,023","2,156","7,931","18,449","2,401","281","5,199","1,609","935","1,593","314","2,672","741","2,704","-1,196","5,325","-6,521"
"Q2 2022","368,917","34,764","30,810","3,954","13,503","6,691","4,949","1,254","609","14,637","1,407","10,708","304","2,218","91,731","20,114","58,801","1,109","141","2,709","5,412","2,536","909","21,542","6,619","269","1,099","2,377","888","1,331","943","2,319","2,569","704","940","1,484","15,740","6,906","107","1,578","6,338","811","53,573","2,834","12,104","4,904","1,183","5,722","15,863","3,538","813","267","720","84","801","224","438","3,260","164","654","9,415","523","430","8,462","29,835","1,895","1,565","678","2,400","322","2,361","2,266","1,556","2,002","1,242","3,108","2,793","201","278","759","4,679","785","395","550","6,258","3,239","3,019","25,540","18,428","3,174","3,938","33,526","2,940","854","1,904","2,257","3,981","3,589","1,772","6,316","2,284","7,629","19,206","2,536","297","5,679","1,624","1,030","1,540","324","2,719","735","2,722","-353","7,875","-8,228"
"Q3 2022","371,100","35,440","31,457","3,983","13,591","6,757","4,924","1,319","591","14,411","1,349","10,532","313","2,217","93,186","20,439","59,655","1,121","142","2,725","5,412","2,799","893","20,935","6,205","258","1,053","2,220","883","1,320","935","2,185","2,699","709","965","1,503","15,653","6,772","92","1,531","6,438","820","53,157","3,180","11,461","5,030","1,224","5,920","14,601","3,659","824","277","731","88","877","237","447","3,825","166","610","9,470","530","419","8,521","29,556","1,780","1,502","622","2,477","331","2,271","2,132","1,525","1,973","1,269","3,233","2,810","198","280","793","4,849","652","338","521","6,330","3,263","3,067","26,302","18,928","3,134","4,240","33,119","2,912","863","1,910","2,230","3,903","3,468","1,741","6,308","2,351","7,433","19,108","2,538","296","5,657","1,569","980","1,558","328","2,733","744","2,705","842","9,994","-9,152"
"Q4 2022","377,069","35,996","31,877","4,119","13,792","6,893","4,983","1,336","580","14,460","1,360","10,491","320","2,289","94,897","20,863","60,833","1,083","143","2,757","5,466","2,889","863","20,929","6,092","254","1,044","2,247","871","1,407","899","2,166","2,729","719","960","1,541","16,007","6,949","101","1,557","6,570","830","55,485","3,392","12,754","5,306","1,193","5,917","14,836","3,701","854","284","742","89","932","247","462","4,048","168","560","9,635","535","430","8,670","30,137","1,682","1,525","509","2,386","337","2,246","2,141","1,561","2,005","1,294","3,344","2,853","193","283","792","5,416","675","361","534","6,398","3,292","3,106","26,417","19,253","3,097","4,067","33,178","2,955","853","1,946","2,305","3,808","3,381","1,722","6,363","2,365","7,480","19,378","2,630","295","5,762","1,553","954","1,560","334","2,782","757","2,751","360","10,474","-10,114"

Symbol legend:
.., not available for a specific reference period




"How to cite: Statistics Canada. Table 36-10-0124-01  Detailed household final consumption expenditure, Canada, quarterly (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610012401